maxtempF,mintempF,avgtempF,totalprecipIn
33,18,26,0.06
32,18,26,0.12
35,19,26,0.0
39,23,29,0.0
43,20,31,0.0
43,24,34,0.1
39,28,35,0.15
35,27,31,0.53
35,25,30,0.13
35,29,31,1.21
37,30,33,0.54
39,28,34,0.29
40,23,32,0.0
44,33,39,0.41
37,27,34,0.57
34,25,30,0.2
37,22,29,0.06
35,25,30,1.02
35,25,31,0.42
38,20,30,0.08
35,23,31,0.27
32,23,28,0.49
31,26,28,0.53
32,23,27,0.1
35,19,27,0.0
38,14,26,0.0
38,22,29,0.0
44,22,32,0.0
42,31,36,0.19
41,29,34,0.48
37,31,34,0.21
39,31,35,0.23
33,29,31,0.57
36,25,30,0.13
44,25,35,0.02
33,26,31,0.44
35,24,30,0.0
46,25,36,0.0
56,29,42,0.0
56,36,44,0.0
57,34,45,0.0
53,33,42,0.0
60,34,45,0.0
41,31,35,0.39
40,29,34,0.03
53,27,42,0.0
60,37,47,0.0
70,39,52,0.0
54,37,45,0.0
53,35,43,0.0
49,34,40,0.0
48,34,40,0.15
42,30,35,0.03
40,30,34,0.2
40,29,34,0.01
48,30,38,0.0
49,32,40,0.0
51,34,43,0.0
59,39,49,0.0
64,44,53,0.0
60,44,51,0.12
54,38,44,0.29
47,35,41,0.1
41,27,36,0.19
40,26,33,0.04
50,26,37,0.0
42,31,37,0.06
48,32,40,0.0
43,31,38,0.08
53,30,42,0.0
42,36,38,0.24
41,35,38,0.16
52,32,41,0.02
53,33,41,0.04
45,39,42,0.51
45,34,39,0.21
47,35,40,0.02
55,36,43,0.0
48,35,40,0.11
53,35,42,0.0
53,38,44,0.02
44,35,40,0.25
41,32,37,0.32
41,35,39,0.95
39,31,37,1.07
34,26,30,0.12
36,24,28,0.02
33,25,28,0.02
36,27,30,0.19
38,30,33,0.17
37,26,32,0.1
35,24,30,0.16
34,28,31,0.19
33,29,32,0.66
35,28,31,0.18
37,30,33,0.07
33,30,31,0.61
33,27,30,0.28
35,26,30,0.0
33,28,31,0.48
31,24,27,0.09
34,27,31,0.31
33,29,31,0.6
30,13,23,0.96
23,9,16,0.2
23,3,12,0.0
16,1,9,0.0
14,8,12,0.18
19,14,17,0.72
27,17,23,0.51
28,21,24,0.48
27,17,22,0.22
23,10,16,0.0
16,6,11,0.12
21,7,12,0.02
19,-2,7,0.0
16,-1,6,0.0
27,4,16,0.0
31,20,26,0.87
32,26,28,1.24
30,14,21,0.0
29,16,22,0.06
27,20,24,0.32
25,13,19,0.02
24,10,14,0.0
26,9,20,0.28
27,23,25,0.83
26,18,21,0.13
33,21,27,0.62
27,10,20,0.03
25,8,18,0.17
21,12,17,0.12
13,0,8,0.01
10,-4,1,0.0
11,-5,0,0.0
19,-3,3,0.0
13,-6,2,0.0
12,-4,7,0.13
22,13,17,0.49
27,14,22,0.14
24,13,18,0.16
18,-2,10,0.02
15,-3,5,0.0
17,0,8,0.0
19,6,10,0.0
28,6,15,0.0
27,11,18,0.0
28,23,26,0.77
32,26,29,0.84
33,22,28,0.12
31,23,27,0.06
32,23,27,0.16
30,17,25,0.21
31,14,21,0.0
29,11,17,0.0
31,11,22,0.03
33,19,27,0.04
33,19,25,0.0
36,17,24,0.0
36,21,29,0.06
34,25,29,0.04
26,11,21,0.18
19,6,11,0.0
20,6,12,0.04
21,14,18,0.32
32,19,26,0.75
29,24,26,1.5
25,16,22,0.64
25,11,17,0.0
25,16,22,0.82
36,25,31,1.3
31,25,28,0.32
30,18,25,0.12
33,15,23,0.0
34,15,23,0.0
34,18,26,0.02
32,30,31,1.11
35,31,33,0.7
36,24,30,0.03
33,26,30,0.16
32,24,28,0.19
32,24,28,0.41
32,20,26,0.12
27,9,19,0.04
26,9,16,0.0
27,8,17,0.0
27,4,17,0.07
26,17,22,0.26
26,18,22,0.37
26,18,23,0.2
32,26,29,0.31
33,25,29,0.16
34,26,31,0.57
28,20,24,0.17
28,16,23,0.17
26,17,21,0.2
29,17,24,0.85
29,22,25,0.48
34,25,31,0.91
36,28,33,0.13
33,26,31,0.57
37,28,32,0.07
37,29,33,0.7
39,31,35,0.99
39,30,35,0.57
34,17,26,0.04
33,18,27,0.43
35,16,29,0.52
35,11,23,0.0
34,21,28,0.05
35,27,31,0.4
38,27,32,0.17
37,24,31,0.08
37,29,32,0.75
34,22,29,0.19
33,21,29,0.49
36,29,32,0.18
34,29,32,0.37
35,30,33,0.81
33,21,29,0.14
38,21,29,0.0
35,28,33,0.13
34,21,30,0.21
36,12,25,0.0
37,23,31,0.11
41,30,34,0.17
39,30,35,0.29
39,28,34,0.46
34,25,29,0.09
37,15,28,0.0
35,21,30,0.26
38,17,30,0.02
42,33,36,0.7
37,27,33,0.48
34,24,29,0.1
39,23,30,0.02
43,22,34,0.04
43,33,37,0.18
41,28,35,0.2
41,27,35,0.16
38,29,34,0.19
43,25,35,0.0
41,31,36,0.09
39,31,35,0.22
40,30,35,0.17
38,31,36,0.13
38,28,34,0.37
36,26,31,0.23
37,24,31,0.0
41,24,35,0.09
36,29,34,0.22
39,31,36,0.22
36,26,32,0.38
32,23,27,0.2
29,23,26,0.18
27,21,24,0.47
33,14,23,0.0
29,14,22,0.0
35,22,27,0.26
35,27,30,0.32
37,26,30,0.05
34,24,29,0.02
39,30,33,0.19
35,31,33,0.56
36,28,32,0.09
35,27,31,0.68
32,26,29,0.32
31,26,28,0.22
38,25,29,0.01
38,21,30,0.56
37,24,32,1.26
38,24,33,0.94
45,39,42,0.55
43,33,39,1.65
37,30,33,0.11
38,26,31,0.21
38,29,34,0.45
33,25,28,0.17
33,28,30,0.58
35,26,29,0.06
33,26,30,0.17
36,22,29,0.13
33,26,29,0.33
30,21,26,0.06
32,19,23,0.0
37,19,25,0.0
34,20,25,0.0
34,21,25,0.0
33,19,24,0.0
33,19,24,0.0
35,20,25,0.0
34,20,25,0.0
38,20,28,0.0
36,24,28,0.0
34,24,27,0.0
34,26,29,0.22
32,24,27,0.06
35,29,33,0.78
36,30,34,1.12
32,25,30,1.22
28,16,23,0.11
27,13,20,0.02
28,19,24,0.29
21,8,14,0.03
18,8,14,0.15
26,15,19,0.21
23,12,17,0.0
31,17,23,0.2
34,28,31,1.14
35,30,33,1.67
31,20,27,0.46
29,18,21,0.0
31,17,21,0.0
27,18,22,0.0
31,18,23,0.0
32,21,26,0.03
33,29,31,0.48
34,25,30,0.09
33,26,30,0.3
36,27,31,0.16
35,27,31,0.41
31,26,28,0.33
33,29,31,1.4
35,31,33,0.51
40,31,34,0.15
38,29,33,0.0
37,31,33,0.07
37,24,32,0.3
36,26,32,0.54
33,23,30,0.45
32,21,26,0.07
31,25,28,0.2
32,25,28,0.3
31,18,25,0.27
30,21,27,0.96
34,25,31,0.48
27,17,23,0.22
28,22,25,0.59
33,25,28,0.7
36,27,32,0.26
37,28,33,0.72
29,23,26,0.3
29,22,25,0.19
35,24,31,0.56
38,33,36,0.8
38,35,37,0.24
40,35,38,0.46
35,32,34,0.37
36,31,33,0.09
40,32,35,0.0
38,30,35,0.15
33,22,27,0.03
36,20,25,0.0
34,19,25,0.0
33,14,22,0.0
40,19,28,0.06
30,19,26,0.43
32,20,25,0.06
34,26,30,0.73
33,23,29,1.83
25,11,19,0.12
21,5,12,0.0
21,0,10,0.07
22,0,11,0.01
22,6,13,0.01
22,3,14,0.14
26,20,23,0.42
29,16,24,1.07
28,14,20,0.0
31,15,25,0.23
32,21,27,0.26
33,24,28,0.3
30,21,26,0.28
36,16,25,0.0
32,19,25,0.19
31,20,25,0.02
37,18,24,0.0
40,17,27,0.01
35,26,31,0.56
33,22,27,0.18
39,19,28,0.0
45,23,32,0.0
48,27,36,0.0
45,30,36,0.49
35,22,30,0.17
41,19,29,0.0
42,22,31,0.04
36,25,30,0.04
37,25,30,0.0
38,23,30,0.0
43,23,32,0.0
44,24,33,0.1
36,21,30,0.44
31,20,26,0.15
33,21,26,0.26
34,19,26,0.0
35,23,30,0.4
38,31,34,0.59
35,28,31,0.0
40,29,34,0.0
38,31,34,0.08
44,30,37,0.0
31,21,27,0.46
31,20,25,0.2
38,23,29,0.0
38,24,33,0.53
40,34,37,0.48
46,34,39,0.03
40,33,36,0.83
36,31,33,0.87
48,31,38,0.01
42,31,36,0.31
42,29,35,0.3
34,27,30,0.35
38,27,34,0.51
40,33,36,0.42
41,33,37,0.28
33,29,31,0.35
34,27,30,0.21
43,25,34,0.0
47,28,37,0.0
50,31,39,0.01
39,26,34,0.16
47,25,36,0.0
53,29,41,0.0
57,32,44,0.0
69,37,52,0.0
65,40,51,0.0
65,38,49,0.04
41,32,37,0.16
44,31,38,0.03
42,33,37,0.01
48,43,46,0.39
44,38,41,0.64
41,37,39,0.46
42,36,39,1.03
40,33,36,0.41
38,29,34,0.25
39,28,32,0.0
47,26,33,0.0
40,26,32,0.12
43,26,31,0.0
40,25,30,0.0
38,26,29,0.0
44,28,33,0.0
42,33,37,0.08
44,32,38,0.0
45,32,39,0.05
41,25,30,0.0
41,25,31,0.0
42,28,32,0.0
41,27,31,0.0
35,28,31,0.2
38,30,33,0.43
33,26,31,0.76
36,25,29,0.02
38,25,29,0.0
35,28,33,0.51
42,34,36,0.74
39,30,34,0.31
36,24,30,0.0
34,27,30,0.22
32,26,28,0.19
32,23,27,0.01
32,17,24,0.0
31,16,20,0.0
28,13,18,0.0
25,13,17,0.0
27,12,17,0.0
29,19,23,0.02
28,19,25,0.31
34,25,29,0.08
35,27,31,1.57
32,26,28,0.33
36,25,31,0.44
33,26,29,0.18
33,24,28,0.14
34,28,31,0.57
36,28,31,0.37
35,30,33,1.84
34,29,31,0.33
38,24,32,0.52
29,20,24,0.03
29,19,23,0.12
32,24,27,0.57
31,19,24,0.02
30,16,22,0.0
28,23,25,0.34
29,18,24,0.02
34,20,28,0.44
37,30,35,1.22
29,20,26,0.35
30,14,21,0.0
30,17,23,0.0
35,21,28,0.03
38,32,34,0.64
37,27,32,0.22
36,27,30,0.03
31,25,28,0.37
27,18,23,0.16
26,21,24,0.31
33,25,29,0.29
38,27,32,0.2
37,26,31,0.0
36,22,28,0.0
36,21,25,0.0
34,19,24,0.0
30,18,22,0.0
32,17,23,0.01
33,25,30,0.43
35,27,31,0.77
34,26,31,0.42
33,23,28,0.11
31,19,24,0.0
34,23,29,1.27
36,29,33,0.85
37,25,31,0.03
38,25,30,0.0
44,28,35,0.0
42,26,34,0.0
36,23,27,0.0
32,21,25,0.0
38,20,29,0.0
39,24,30,0.0
32,27,30,0.43
39,26,32,0.11
29,24,27,0.06
26,14,21,0.31
24,10,15,0.0
25,8,14,0.0
26,6,14,0.0
26,13,19,0.31
16,4,12,0.24
22,3,13,0.29
23,10,17,0.98
26,15,21,1.24
30,16,22,0.14
26,16,21,0.2
31,17,24,0.04
31,18,24,0.11
29,19,23,0.04
28,18,22,0.0
29,21,25,0.37
28,17,23,0.11
29,11,20,0.0
28,14,21,0.22
29,18,22,0.05
26,13,20,0.21
23,10,16,0.01
21,6,12,0.0
26,11,18,0.12
31,9,20,0.0
31,11,22,0.0
28,11,18,0.0
21,4,11,0.0
21,1,10,0.0
27,5,15,0.0
28,13,22,0.2
28,17,22,0.11
29,14,20,0.0
29,9,19,0.0
34,12,22,0.0
37,16,27,0.1
30,21,27,0.56
33,20,26,0.02
38,21,29,0.0
43,24,32,0.0
44,25,33,0.0
48,28,35,0.0
48,28,36,0.0
50,29,38,0.0
54,30,40,0.0
50,33,40,0.0
48,32,39,0.03
45,30,36,0.0
41,28,34,0.12
43,28,36,0.16
43,27,33,0.09
42,23,32,0.07
44,29,35,0.12
44,28,36,0.04
49,27,38,0.0
54,29,40,0.0
51,32,39,0.0
50,31,40,0.02
41,31,37,0.26
50,29,39,0.0
44,28,36,0.39
39,27,32,0.3
40,30,35,0.46
44,28,36,0.44
39,31,35,0.41
37,29,34,0.66
38,33,35,0.5
40,31,36,0.22
37,27,33,0.33
33,26,30,0.18
41,23,33,0.0
43,29,36,0.1
45,34,38,0.16
53,35,45,0.06
47,37,42,0.19
47,33,39,0.0
50,32,39,0.0
48,31,40,0.04
44,35,40,0.07
49,31,39,0.0
56,29,43,0.0
50,34,40,0.0
35,24,31,0.34
46,24,35,0.07
47,27,36,0.04
49,28,38,0.0
46,29,35,0.0
51,31,40,0.0
53,36,41,0.0
53,35,42,0.0
54,35,42,0.0
49,33,39,0.0
48,33,38,0.0
53,35,42,0.0
45,36,41,0.05
48,36,41,0.0
44,31,36,0.0
41,34,38,0.22
45,32,37,0.0
43,33,37,0.0
42,34,38,0.25
40,36,38,0.06
48,36,43,0.27
43,33,39,0.3
38,32,36,0.18
41,30,34,0.0
40,29,33,0.0
40,30,33,0.0
42,31,36,0.03
37,28,33,0.26
31,22,28,0.17
28,22,24,0.01
24,18,21,0.02
29,13,19,0.0
30,14,21,0.0
28,15,19,0.0
28,16,23,0.18
38,26,33,0.0
39,33,35,0.0
37,35,36,0.3
37,33,35,0.0
36,34,35,0.02
37,34,35,0.3
38,29,34,0.0
41,26,32,0.0
37,27,32,0.15
35,30,32,0.36
34,30,31,0.94
33,26,28,0.2
32,23,27,0.13
30,20,24,0.04
32,19,25,0.01
33,22,26,0.0
30,23,26,0.05
33,26,29,1.47
37,34,36,2.22
36,26,32,0.55
34,24,30,0.15
31,20,27,0.04
30,15,22,0.0
29,18,22,0.0
26,16,20,0.01
31,23,26,0.18
35,23,29,0.0
34,25,29,0.0
35,28,31,0.01
37,31,34,1.6
38,28,34,0.95
30,26,28,0.33
40,25,33,0.15
31,23,28,0.66
29,24,26,0.42
33,24,30,2.06
36,29,33,0.6
32,24,27,0.26
26,19,23,0.05
25,19,22,0.62
29,19,25,0.85
29,17,26,0.84
24,16,19,0.23
17,11,14,0.32
13,3,9,0.19
25,14,18,0.14
24,15,19,0.0
28,19,23,0.41
33,22,29,0.0
33,27,29,0.0
33,27,29,0.4
31,28,30,0.96
35,29,33,1.35
36,29,34,0.41
36,32,33,0.33
35,27,32,0.39
34,28,31,0.67
32,28,30,0.5
32,29,31,0.53
35,26,30,0.26
42,31,38,0.51
38,22,33,1.0
29,21,24,0.02
26,16,21,0.06
28,16,22,0.46
37,24,33,2.8
38,30,35,3.0
38,31,35,1.44
31,27,29,0.66
31,21,25,0.0
34,19,26,0.0
32,24,28,0.12
36,29,33,0.01
33,26,30,0.15
30,27,28,0.39
33,27,30,0.54
29,24,27,0.37
29,19,25,0.11
32,12,21,0.0
33,16,23,0.0
34,17,25,0.0
40,21,30,0.0
36,27,31,0.05
32,25,29,0.9
28,22,25,0.13
37,20,28,0.01
34,29,32,0.0
38,29,33,0.0
41,28,33,0.13
31,25,28,0.38
31,21,26,0.02
35,22,30,0.41
38,31,35,0.28
33,22,30,0.13
42,25,33,0.0
34,27,31,0.06
32,22,27,0.21
32,20,25,0.0
34,19,26,0.0
40,24,31,0.0
35,26,32,0.16
37,25,30,0.0
32,25,29,0.27
24,14,21,0.06
34,13,23,0.0
44,22,32,0.0
41,28,33,0.0
38,29,33,0.0
46,29,37,0.0
46,30,37,0.0
47,31,38,0.0
47,30,38,0.0
36,27,32,0.2
35,24,30,0.22
35,24,29,0.17
33,27,30,0.05
35,28,31,0.15
38,29,35,0.31
37,32,34,0.35
32,27,30,0.79
32,24,28,0.24
33,23,27,0.07
35,25,29,0.07
33,24,27,0.14
38,22,29,0.0
41,27,33,0.0
41,30,35,0.0
40,28,33,0.0
56,29,42,0.0
56,37,45,0.0
51,37,43,0.02
43,34,38,0.01
47,31,38,0.0
49,30,39,0.0
50,32,41,0.0
51,36,43,0.0
54,34,44,0.0
55,35,45,0.0
43,37,40,0.04
48,36,41,0.0
53,35,43,0.0
42,34,39,0.0
41,32,37,0.58
41,32,39,0.94
48,37,42,0.0
44,36,40,0.24
50,35,42,0.03
48,38,41,0.35
55,34,44,0.0
59,40,48,0.13
45,34,40,0.11
48,34,39,0.0
54,35,42,0.0
41,36,39,1.16
52,37,47,0.3
47,34,41,0.97
40,29,34,0.18
32,28,29,0.0
38,26,31,0.0
32,25,28,0.08
32,25,30,0.8
30,23,26,0.0
31,23,27,0.17
32,26,30,1.19
31,27,29,0.63
33,26,32,0.66
33,27,31,0.39
37,29,35,0.33
33,28,31,0.36
31,26,29,0.54
36,28,31,0.02
37,28,32,0.0
33,28,30,0.13
32,26,31,0.19
37,25,33,0.33
32,28,31,0.26
33,29,31,0.02
38,28,32,0.0
35,26,33,0.16
34,27,30,0.0
32,28,30,0.5
34,24,28,0.0
32,24,27,0.0
34,22,28,0.01
37,27,31,0.0
34,23,29,0.0
38,22,32,0.0
35,30,32,0.0
40,31,37,0.27
35,28,33,0.23
33,25,29,0.03
31,24,28,0.07
31,23,26,0.0
28,21,25,0.24
32,24,30,0.11
33,26,29,0.57
32,29,31,0.58
32,29,30,0.58
33,26,31,0.38
31,27,30,0.7
37,30,34,0.38
36,25,33,0.98
28,18,24,0.2
28,14,20,0.0
27,17,20,0.0
25,17,21,0.28
32,21,26,0.21
30,22,26,0.03
32,20,24,0.0
31,21,25,0.13
30,23,27,1.16
33,24,30,0.75
33,30,32,0.56
33,28,32,1.14
31,25,29,0.72
32,28,31,0.92
31,26,28,0.49
35,27,31,0.43
34,26,31,0.01
31,27,30,0.19
30,22,26,0.0
34,27,30,0.06
34,29,31,0.66
36,31,33,1.99
33,25,29,1.38
32,22,26,0.0
35,25,31,0.17
35,24,29,0.0
35,28,33,0.22
36,26,30,0.0
36,25,29,0.0
36,29,32,0.0
32,26,29,0.09
33,23,27,0.0
32,21,25,0.0
28,21,25,0.14
30,20,24,0.01
26,18,21,0.14
29,20,23,0.11
34,20,27,0.0
32,23,27,0.02
32,25,28,0.32
35,27,32,0.26
36,32,33,0.33
31,24,29,0.46
32,23,27,0.07
31,27,29,0.48
35,29,33,1.1
34,28,31,0.63
28,22,26,0.43
29,18,22,0.09
25,13,19,0.0
24,9,16,0.0
12,8,11,0.19
11,5,8,0.37
14,4,10,0.65
17,7,12,0.33
25,12,18,0.95
30,22,29,0.78
30,21,26,0.07
28,20,24,0.33
31,24,29,0.54
30,25,28,0.34
34,26,32,0.85
34,27,33,2.17
29,21,26,0.79
31,19,24,0.07
30,22,25,0.76
28,22,26,0.87
29,20,25,0.06
33,26,30,0.09
38,29,32,0.0
34,23,30,0.0
39,22,29,0.0
44,29,34,0.02
41,31,35,0.09
34,26,30,0.04
32,24,29,0.17
35,22,28,0.0
34,23,29,0.03
37,24,29,0.0
40,23,31,0.0
43,26,33,0.0
46,27,36,0.0
42,30,35,0.12
33,22,28,0.01
37,21,28,0.0
41,25,33,0.0
44,30,35,0.38
40,27,33,0.12
35,25,30,0.25
32,24,28,0.26
31,25,29,0.42
35,23,29,0.0
33,27,31,0.54
36,29,32,0.09
35,29,32,0.0
41,30,34,0.0
36,25,31,0.59
32,22,27,0.08
35,19,27,0.0
48,22,35,0.0
45,32,37,0.0
41,32,36,0.0
49,31,39,0.0
37,23,33,0.09
37,21,31,0.0
43,29,35,0.0
35,30,32,0.22
34,24,29,0.39
36,25,30,0.07
30,21,26,0.31
38,18,28,0.0
44,24,34,0.0
47,27,37,0.0
55,31,43,0.0
58,39,49,0.0
60,40,51,0.0
67,41,54,0.0
61,45,53,0.0
54,35,46,0.0
55,36,47,0.0
58,39,48,0.0
50,37,43,0.0
52,38,43,0.01
39,33,36,0.33
42,29,35,0.2
41,32,36,0.04
45,33,39,0.0
54,36,45,0.0
60,43,51,0.0
45,38,42,0.05
42,31,35,0.18
42,31,37,0.3
44,34,38,0.08
44,36,40,0.73
37,28,33,0.13
39,27,32,0.25
33,26,29,0.17
36,27,30,0.0
32,25,30,0.69
36,24,29,0.19
36,31,33,1.36
40,33,37,1.29
40,32,35,0.57
51,36,46,0.34
49,29,42,0.52
31,26,29,0.17
34,21,26,0.0
31,26,28,0.43
32,27,29,0.26
33,26,30,0.0
38,23,28,0.0
39,24,30,0.09
32,29,31,0.44
33,25,29,0.02
39,30,35,0.7
40,36,38,0.33
42,34,38,0.84
46,39,43,0.2
44,38,42,0.26
41,39,40,0.34
51,42,44,0.06
42,30,36,0.01
38,30,33,0.0
29,24,27,0.82
28,20,23,0.0
31,24,27,0.39
35,29,32,0.14
34,26,29,0.39
28,20,25,0.46
30,24,28,0.36
32,26,29,1.4
28,18,24,0.31
28,20,23,0.28
27,12,19,0.08
24,15,20,0.16
29,19,24,0.24
29,21,24,0.07
29,23,26,1.03
30,20,26,0.0
28,16,23,0.34
33,25,30,0.1
33,29,32,0.39
29,25,27,0.56
28,17,22,0.33
26,14,19,0.27
19,5,13,0.13
11,-5,3,0.01
13,1,6,0.04
15,-1,6,0.03
14,7,12,0.35
21,3,11,0.01
23,-1,12,0.0
22,8,13,0.34
24,11,18,0.98
28,19,23,0.45
30,22,25,0.64
35,22,30,2.58
35,24,30,0.67
29,17,24,0.12
29,15,19,0.0
31,17,23,0.04
36,30,33,0.91
38,32,35,0.66
36,32,34,0.11
34,25,31,0.0
35,26,31,0.0
39,26,33,0.0
38,34,35,0.09
34,33,34,0.19
34,32,33,0.1
36,33,34,0.68
33,24,30,0.01
39,22,29,0.0
40,25,32,0.0
36,24,30,0.0
34,19,26,0.0
38,20,28,0.0
35,21,25,0.0
35,18,24,0.0
40,19,28,0.0
37,26,32,0.31
30,22,26,0.5
28,17,23,0.15
28,11,19,0.13
32,25,29,0.14
32,28,31,0.2
33,26,30,0.03
44,26,33,0.0
36,27,32,0.05
36,31,33,0.01
41,32,36,0.0
43,32,37,0.0
44,28,34,0.0
43,26,32,0.0
47,26,34,0.0
34,29,32,0.18
33,29,31,0.04
35,27,31,0.04
37,25,30,0.02
37,31,34,0.0
33,30,31,0.33
30,19,27,0.49
31,18,24,0.22
19,2,12,0.0
24,0,11,0.0
27,11,18,0.04
30,7,16,0.0
28,7,19,0.17
35,24,29,0.83
36,29,32,2.29
38,33,35,0.45
38,32,34,0.27
32,28,31,0.1
35,26,30,0.0
35,24,29,0.0
39,24,30,0.0
39,24,31,0.0
33,30,32,0.22
32,20,27,0.0
33,17,25,0.0
37,22,31,0.01
45,27,34,0.09
37,30,33,0.28
36,33,34,0.61
35,31,33,0.55
35,29,32,0.09
37,26,31,0.12
40,32,34,0.07
33,25,31,0.28
32,26,29,0.26
40,29,34,0.5
44,34,38,0.04
42,31,37,0.08
45,24,34,0.0
48,32,39,0.0
52,36,43,0.11
56,38,46,0.09
49,37,43,0.01
43,36,38,0.0
38,30,33,0.23
36,27,31,0.1
39,28,33,0.03
37,29,33,0.13
41,28,35,0.2
34,26,30,1.51
33,23,28,0.33
39,15,29,0.0
46,26,35,0.0
37,28,34,0.41
31,23,28,0.43
31,20,26,0.35
33,24,29,0.57
30,20,25,0.36
30,19,24,0.11
33,18,25,0.18
34,18,26,0.04
33,18,26,0.26
37,20,29,0.01
34,27,31,0.33
35,26,30,0.18
38,18,31,0.12
39,30,34,0.29
41,28,34,0.08
46,28,37,0.0
51,31,42,0.0
44,33,38,0.2
38,29,34,0.18
40,27,33,0.13
43,28,35,0.07
46,31,38,0.07
41,35,37,0.52
37,29,32,0.08
35,27,30,0.22
35,29,31,0.59
46,30,39,3.42
39,26,30,0.61
29,24,26,0.59
29,21,25,0.19
29,16,20,0.05
34,16,23,0.0
33,21,26,0.0
29,22,24,0.03
35,21,26,0.0
36,25,30,0.0
37,20,27,0.0
38,22,28,0.0
39,22,28,0.0
33,20,27,0.0
34,19,23,0.0
33,16,22,0.0
36,19,27,0.0
39,28,32,0.0
35,29,31,0.78
40,30,35,0.04
36,28,31,0.0
35,28,31,0.26
33,28,31,0.15
32,24,29,0.79
26,13,22,0.18
21,7,14,0.42
26,13,19,1.02
26,12,19,0.15
20,4,13,0.06
24,10,16,0.1
24,8,15,0.1
29,14,21,0.03
29,24,27,0.09
31,23,27,0.0
29,19,22,0.37
29,17,21,0.45
27,19,22,0.41
31,21,26,0.01
29,22,27,0.01
26,14,20,0.0
29,18,23,0.0
26,13,17,0.0
29,10,18,0.0
28,14,21,0.05
28,18,25,0.27
18,11,14,0.18
20,10,14,0.72
15,-1,9,0.09
1,-4,-2,0.02
20,-4,7,0.68
34,18,25,0.94
36,32,33,0.19
37,32,33,1.08
32,29,31,0.96
31,26,29,0.15
29,22,26,0.19
33,25,29,0.45
32,29,31,0.2
32,23,28,0.0
26,19,23,0.0
30,21,25,0.06
27,21,24,0.13
30,23,26,0.09
33,26,30,0.12
31,27,30,0.3
33,27,30,0.3
31,24,28,0.2
31,24,28,0.05
31,24,27,0.17
32,30,31,0.98
33,32,33,0.29
34,32,33,0.16
33,29,32,0.33
33,26,29,0.01
32,25,28,0.07
30,25,28,0.42
29,18,25,0.04
34,17,23,0.0
28,18,23,0.31
29,19,26,0.08
33,18,26,0.0
32,26,29,0.06
35,26,31,0.0
36,23,29,0.04
33,31,32,0.32
31,13,25,0.09
22,7,12,0.0
25,3,13,0.0
29,15,22,0.01
33,19,25,0.0
32,19,24,0.0
35,21,28,0.14
36,29,31,0.3
34,29,31,0.26
33,28,30,0.3
32,27,30,0.71
31,19,26,0.26
32,21,25,0.0
33,24,29,0.16
33,23,28,0.0
38,21,29,0.05
33,22,29,0.63
26,15,21,0.04
29,13,20,0.0
33,17,25,0.0
33,20,26,0.22
30,23,26,0.22
34,28,32,0.33
34,32,33,0.8
31,22,26,0.46
22,9,18,0.06
13,0,8,0.06
22,-2,9,0.0
32,3,18,0.0
27,15,22,0.32
26,7,17,0.01
27,9,19,0.04
27,11,20,0.01
29,22,25,0.21
27,20,24,0.13
29,18,23,0.01
33,12,25,0.06
32,9,23,0.31
33,14,26,0.01
35,26,29,0.12
33,19,25,0.03
33,24,27,0.67
35,20,27,0.04
34,20,28,0.32
39,25,31,1.0
33,18,26,0.04
34,22,28,0.5
37,16,27,0.0
40,21,30,0.0
42,26,33,0.01
45,30,36,0.02
40,31,34,0.24
42,25,32,0.13
43,22,33,0.02
38,25,30,0.54
30,23,25,0.72
30,16,24,0.14
33,18,25,0.05
39,18,27,0.03
40,28,33,0.02
46,26,35,0.06
39,28,32,0.04
35,26,30,0.39
31,24,28,0.5
31,19,25,0.19
32,21,25,0.1
33,18,26,0.04
39,19,29,0.0
40,29,34,0.24
37,31,34,0.33
41,26,34,0.07
39,31,35,0.63
36,31,34,0.62
34,23,30,0.22
34,22,27,0.04
33,21,28,0.05
39,24,32,0.0
43,27,35,0.04
41,26,35,0.55
39,22,30,0.25
33,22,28,0.33
35,25,29,0.23
37,23,30,0.25
36,31,33,0.58
44,29,37,0.08
43,34,38,0.3
37,31,34,0.27
45,33,38,0.0
57,32,43,0.0
65,41,51,0.0
62,39,51,0.0
74,47,58,0.0
53,39,46,0.0
50,33,41,0.02
48,34,40,2.45
49,38,41,0.01
48,38,42,1.77
45,36,40,0.26
40,34,38,1.15
37,29,34,1.48
39,27,34,0.0
38,29,32,0.3
37,32,34,0.32
39,31,35,0.88
37,31,33,0.01
38,28,33,0.3
41,25,31,0.0
37,27,31,0.0
41,27,32,0.0
43,29,34,0.0
41,31,34,0.27
35,27,32,1.1
36,24,30,0.0
44,28,34,0.02
37,28,35,0.45
39,26,31,0.0
41,27,32,0.0
40,27,31,0.0
36,24,28,0.0
37,25,28,0.0
36,24,28,0.0
39,28,31,0.0
32,26,29,0.32
32,26,30,1.19
33,26,31,1.75
42,29,32,2.14
45,30,36,0.54
47,34,38,2.63
40,32,35,1.34
35,27,31,0.39
30,14,26,0.19
33,17,24,1.96
39,29,34,1.69
34,31,33,0.02
33,28,31,0.0
32,27,29,0.0
33,26,29,0.04
35,29,32,0.0
40,28,33,0.0
38,29,32,0.0
36,29,31,0.0
35,31,33,0.21
40,32,35,0.0
40,31,34,0.0
36,28,32,0.41
31,22,26,0.03
28,19,22,0.01
26,18,23,0.3
34,25,29,0.35
33,28,30,0.1
