maxtempF,mintempF,avgtempF,totalprecipIn
35,24,31,0.11
43,24,33,0.0
46,28,35,0.0
48,27,38,0.0
39,33,37,0.45
36,29,32,0.13
46,29,37,0.0
46,29,37,0.0
37,31,35,0.33
35,30,32,0.25
45,29,36,0.0
40,34,37,0.41
37,30,33,1.18
32,26,29,0.13
35,25,30,0.11
34,26,30,0.08
31,27,29,0.7
30,26,28,0.24
36,24,30,0.13
35,29,31,0.4
33,28,31,0.26
39,27,34,0.07
35,25,27,0.53
33,22,27,0.17
37,20,29,0.0
43,29,35,0.0
41,32,36,0.1
39,27,35,0.13
49,26,37,0.0
48,31,38,0.02
56,31,43,0.08
47,37,41,0.15
54,36,44,0.0
56,38,46,0.02
44,38,41,0.27
40,30,35,0.47
44,29,35,0.0
48,31,38,0.07
36,30,33,0.32
50,31,39,0.01
46,35,40,0.19
41,33,38,0.42
37,32,34,0.29
37,31,34,0.12
39,33,35,0.06
43,37,41,0.99
49,38,42,0.0
47,33,40,0.0
52,36,43,0.0
51,35,43,0.03
47,40,43,0.49
41,31,36,0.37
35,26,31,0.08
34,26,30,0.35
35,26,29,0.0
39,24,32,0.16
33,24,30,0.04
37,29,34,0.12
42,35,39,0.15
43,36,40,0.79
37,31,34,0.5
34,29,32,0.82
29,24,27,0.29
30,20,26,0.13
29,22,26,0.0
26,20,23,0.22
20,9,15,0.57
9,-14,-1,0.04
7,-13,-1,0.0
28,9,22,0.12
30,21,25,0.34
28,20,24,0.08
24,10,19,0.05
26,7,20,0.07
31,22,26,1.19
32,22,30,0.1
27,13,21,0.0
29,17,24,0.0
24,14,19,0.0
26,15,21,0.02
29,24,26,0.0
30,27,28,0.23
34,28,31,0.35
34,31,32,0.94
32,26,30,0.2
33,24,28,1.48
37,35,36,1.11
38,32,35,0.32
35,22,28,0.9
28,22,24,0.11
27,16,22,0.0
24,16,21,0.0
24,18,21,0.09
22,19,21,0.13
25,20,22,0.13
29,23,27,0.0
30,25,28,0.15
29,21,26,0.08
30,24,28,0.24
32,29,30,0.25
30,25,28,0.3
31,24,28,0.61
34,27,31,0.32
26,17,21,0.24
15,3,11,0.01
11,0,5,0.0
15,2,7,0.0
18,5,11,0.0
23,7,13,0.0
30,10,21,0.0
