name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
snoqualmie pass,2023-12-31,35.9,30.2,33.4,35.9,29.6,32.9,30.9,90.3,0.026,100,12.5,"rain,snow",0,9.3,10.3,3.5,85.6,1021.2,59.3,5.7,9.7,0.7,1,10,2023-12-31T07:53:14,2023-12-31T16:24:20,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KSEA,KSMP,KBFI,RXSW1,72793494248,FTAW1,KRNT,72781524237"
snoqualmie pass,2024-01-01,30.9,27,29,30.9,23.4,26.7,26.3,89.7,0.005,100,4.17,"rain,snow",0,8.8,15,4.3,17.5,1023.8,93.9,2.4,16.4,1.3,1,10,2024-01-01T07:53:16,2024-01-01T16:25:16,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"KSEA,KSMP,KBFI,RXSW1,72793494248,FTAW1,KRNT,72781524237"
