"Date/Time (PST)","deg F (3100') Alpental Base","deg F (4350') Alpental Mid-Mountain","deg F (4340') Mt. Washington","deg F (3010') Snoqualmie Pass","deg F (3760') Snoqualmie Pass - Dodge Ridge","deg F (3770') Snoqualmie Pass - East Shed"
"4/5/16 7 pm",33.96,32.93,33.08,32.18,36.92,35.33
"4/5/16 6 pm",34.8,32.8,33.04,34.1,36.66,36.01
"4/5/16 5 pm",36.75,34.27,33.99,37.24,37.14,36.53
"4/5/16 4 pm",37.47,34.2,34.46,37.98,36.55,36.37
"4/5/16 3 pm",38.69,34.69,33.26,40.01,36.07,37.23
"4/5/16 2 pm",39.42,34.57,33.2,40.63,35.57,35.87
"4/5/16 1 pm",40.03,35.67,32.5,39.52,35.64,36.02
"4/5/16 12 pm",39.05,35.67,32.14,39.33,34.29,35.88
"4/5/16 11 am",39.05,34.45,31.7,39.03,34.99,35.91
"4/5/16 10 am",39.05,33.84,31.24,39.4,33.46,34.65
"4/5/16 9 am",38.32,34.2,30.8,39.89,32.83,33.73
"4/5/16 8 am",36.14,32.74,30.28,36.38,32.6,32.68
"4/5/16 7 am",35.66,32.15,29.86,35.08,32.11,32.68
"4/5/16 6 am",34.09,30.55,29.3,33.97,31.73,31.32
"4/5/16 5 am",33,29.71,29.12,31.94,31.21,30.86
"4/5/16 4 am",33,29.34,29.06,32.06,31.21,31.14
"4/5/16 3 am",32.75,29.34,28.89,31.94,31.27,30.65
"4/5/16 2 am",33,29.45,28.97,31.63,31.27,30.59
"4/5/16 1 am",33,29.7,28.89,31.82,31.16,30.71
"4/5/16 12 am",33,29.33,28.63,31.75,31.41,30.83
"4/4/16 11 pm",32.99,29.46,28.83,32.31,31.83,31.2
"4/4/16 10 pm",34.69,29.33,28.69,35.14,32.73,31.63
"4/4/16 9 pm",33.96,29.57,28.9,33.97,32.49,31.69
"4/4/16 8 pm",35.05,30.19,29.43,34.59,33.76,31.69
"4/4/16 7 pm",35.66,30.92,29.8,36.19,35.14,33.17
"4/4/16 6 pm",35.42,31.04,30.34,37.24,35.31,34.4
"4/4/16 5 pm",35.41,31.76,31.03,37.12,35.5,34.62
"4/4/16 4 pm",36.5,32.61,32.93,37.05,35.97,36.28
"4/4/16 3 pm",36.38,34.08,33.01,37.24,36.08,37.05
"4/4/16 2 pm",37.23,32.49,32.31,36.93,35.37,36.01
"4/4/16 1 pm",38.08,32.86,32.07,37.49,35.58,36.99
"4/4/16 12 pm",37.24,32.61,31.54,37.42,35.25,36.28
"4/4/16 11 am",38.94,33.71,31.24,39.89,34.86,34.16
"4/4/16 10 am",35.9,32.51,30.76,36.07,34.27,35.33
"4/4/16 9 am",35.05,31.41,30.43,35.14,34.03,33.54
"4/4/16 8 am",34.08,31.47,30.23,34.4,33.32,33.85
"4/4/16 7 am",35.17,31.53,30.19,35.02,33.3,32.59
"4/4/16 6 am",35.05,31.17,30.39,34.71,33.65,32.18
"4/4/16 5 am",34.69,32.01,30.79,34.28,34.09,33.29
"4/4/16 4 am",35.78,32.13,31.16,34.77,34.52,33.17
"4/4/16 3 am",35.29,32.25,31.31,35.02,34.35,34.03
"4/4/16 2 am",36.02,32.43,31.98,35.39,34.59,34.28
"4/4/16 1 am",37.47,33.04,32.11,36.13,36.76,35.02
"4/4/16 12 am",37.23,34.67,33.11,37.24,38.01,36.65
"4/3/16 11 pm",39.3,37.15,35.26,40.32,41.28,40.57
"4/3/16 10 pm",39.18,41.49,38.09,40.14,44.11,43.84
"4/3/16 9 pm",39.3,44.66,40.98,38.6,48.23,48.4
"4/3/16 8 pm",39.18,43.32,44.75,39.21,50.3,50.95
"4/3/16 7 pm",39.78,45.4,46.13,39.27,51.24,50.68
"4/3/16 6 pm",40.02,44.78,46.94,40.69,51.08,50.88
"4/3/16 5 pm",41.72,45.14,48.73,44.52,53.3,53.07
"4/3/16 4 pm",43.4,47,51.58,53.27,55.88,56.95
"4/3/16 3 pm",46.78,53.64,52.12,61.04,56.42,59.53
"4/3/16 2 pm",51.14,54.61,52.3,64.43,56.91,60.95
"4/3/16 1 pm",51.13,52.6,52.48,64.8,58.89,59.78
"4/3/16 12 pm",56.72,52.89,52.54,66.77,56.06,59.04
"4/3/16 11 am",57.46,53.61,51.92,65.78,55.03,56.82
"4/3/16 10 am",56.63,49.77,52.41,65.28,53.91,56.21
"4/3/16 9 am",49.98,47.65,51.59,61.7,50.88,52.77
"4/3/16 8 am",44.89,45.17,48.28,54.3,49.67,49.75
"4/3/16 7 am",39.3,43.94,44.81,41.49,45.86,46.58
"4/3/16 6 am",37.12,41.4,42.1,36.62,43.68,43.5
"4/3/16 5 am",35.66,39.44,41.6,33.61,42.39,42.52
"4/3/16 4 am",35.54,39.69,41.9,33.73,42.25,42.76
"4/3/16 3 am",36.27,39.42,40.54,34.1,42.22,42.67
"4/3/16 2 am",36.03,41.37,39.94,34.22,42.67,42.55
"4/3/16 1 am",36.39,40.91,40.27,33.67,42.43,41.94
"4/3/16 12 am",35.79,39.2,39.63,32.81,42.53,41.57
"4/2/16 11 pm",35.3,39.44,38.86,32.81,42.83,41.94
