"Date/Time (PST)",""" (3100') Alpental Base",""" (4350') Alpental Mid-Mountain",""" (3010') Snoqualmie Pass"
"1/4/16 10 am",9.38,4.374,2.722
"1/4/16 9 am",8.85,4.24,2.716
"1/4/16 8 am",9.12,4.106,2.311
"1/4/16 7 am",8.32,3.301,1.907
"1/4/16 6 am",7.785,3.033,1.097
"1/4/16 5 am",7.12,2.363,0.557
"1/4/16 4 am",7.12,1.96,6.357
"1/4/16 3 am",6.854,1.692,6.22
"1/4/16 2 am",6.455,1.015,5.682
"1/4/16 1 am",5.656,0.875,5.01
"1/4/16 12 am",5.124,0.876,4.331
"1/3/16 11 pm",4.724,1.155,3.047
"1/3/16 10 pm",4.592,1.826,4.328
"1/3/16 9 pm",3.66,1.424,3.388
"1/3/16 8 pm",2.725,1.29,3.119
"1/3/16 7 pm",1.394,1.007,0.756
"1/3/16 6 pm",0.729,1.007,1.163
"1/3/16 5 pm",1.131,0.887,0.556
"1/3/16 4 pm",1.132,0.887,0.355
"1/3/16 3 pm",0.933,1.021,0.963
"1/3/16 2 pm",0.999,1.021,1.168
"1/3/16 1 pm",0.667,0.619,0.09
"1/3/16 12 pm",0.062,0.537,0.153
"1/3/16 11 am",0.456,0.604,0.145
"1/3/16 10 am",0.19,0.604,0.28
"1/3/16 9 am",0.184,0.604,0.549
"1/3/16 8 am",0.245,0.604,0.549
"1/3/16 7 am",0.243,0.604,0.549
"1/3/16 6 am",0.239,0.601,0.549
"1/3/16 5 am",0.234,0.604,0.406
"1/3/16 4 am",0.3,0.604,0.406
"1/3/16 3 am",0.3,0.598,0.544
"1/3/16 2 am",0.234,0.659,0.479
"1/3/16 1 am",0.234,0.597,0.54
"1/3/16 12 am",0.3,0.597,0.471
