"Date/Time (PST)",""" (3100') Alpental Base",""" (4350') Alpental Mid-Mountain",""" (3010') Snoqualmie Pass"
"1/4/16 9 am",82.8,90.2,79.63
"1/4/16 8 am",82.7,283.3,79.56
"1/4/16 7 am",82.1,283.3,78.88
"1/4/16 6 am",81.4,283.3,78.07
"1/4/16 5 am",80.4,283.3,77.6
"1/4/16 4 am",80.4,91,77.94
"1/4/16 3 am",79.83,283.3,77.66
"1/4/16 2 am",79.83,283.3,77.53
"1/4/16 1 am",78.97,90.4,74.44
"1/4/16 12 am",77.5,90.1,76.44
"1/3/16 11 pm",76.3,88.2,75.22
"1/3/16 10 pm",77.97,87.5,76.43
"1/3/16 9 pm",75.04,86.9,74.7
"1/3/16 8 pm",75.62,86.7,75.44
"1/3/16 7 pm",75.62,85.4,72.53
"1/3/16 6 pm",73.96,84.7,72.81
"1/3/16 5 pm",74.63,85.2,72.94
"1/3/16 4 pm",74.77,85.2,72.81
"1/3/16 3 pm",73.98,85.3,72.55
"1/3/16 2 pm",74.91,85.2,72.83
"1/3/16 1 pm",74.51,85.1,72.83
"1/3/16 12 pm",73.82,85.1,71.46
"1/3/16 11 am",74.32,85.1,73.33
"1/3/16 10 am",73.92,85.4,70.63
"1/3/16 9 am",74.16,85.3,72.25
"1/3/16 8 am",74.41,85.4,72.31
"1/3/16 7 am",74.26,85.5,72.45
"1/3/16 6 am",74.58,85.2,72.45
"1/3/16 5 am",74.55,83.9,72.15
"1/3/16 4 am",74.55,85.7,72.09
"1/3/16 3 am",74.69,85.6,73.04
"1/3/16 2 am",74.69,86,72.91
"1/3/16 1 am",74.75,85.9,73.57
"1/3/16 12 am",74.49,86.2,73.29
